Month,Year,LowTemp,HighTemp,WarmestMin,ColdestHigh,AveMin,AveMax
12,1949,15,64,54,30,29.4,44.2
1,1950,6,72,55,24,27.6,44.7
2,1950,-1,52,33,16,20.1,35.4
3,1950,2,70,43,16,24.9,42.5
4,1950,28,75,53,42,38.4,54.9
5,1950,35,80,58,48,47.3,64.2
6,1950,50,93,70,64,58.7,79.4
7,1950,56,93,72,72,64.5,82.5
8,1950,56,87,71,68,62.8,78.9
9,1950,38,86,67,56,53.6,69.4
10,1950,33,85,60,47,48.3,64.4
11,1950,27,83,50,39,40,55.5
12,1950,4,63,53,19,29,42
1,1951,1,61,40,23,26,41.9
2,1951,8,66,40,20,26.4,43
3,1951,21,65,43,33,32.8,45.3
4,1951,37,74,50,45,42.8,59.2
5,1951,41,91,65,52,49.8,68.4
6,1951,51,91,66,55,58,73.9
7,1951,60,92,72,69,65.5,82.5
8,1951,54,89,71,65,62.5,78.8
9,1951,39,90,68,54,57,74.1
10,1951,37,72,61,47,47.8,61.7
11,1951,16,71,58,29,34.8,50.4
12,1951,9,64,52,18,27.5,42.5
1,1952,1,55,42,18,24.8,40.3
2,1952,14,52,39,29,26.1,38.9
3,1952,17,63,39,29,31.3,43.1
4,1952,34,80,54,41,42.7,58.2
5,1952,39,82,56,54,49.2,65.1
6,1952,55,100,69,69,61.5,79.8
7,1952,56,100,78,69,68.2,86.8
8,1952,54,91,72,71,64,80.3
9,1952,46,90,69,61,57.6,75
10,1952,31,78,57,43,44.1,61.9
11,1952,28,71,54,39,38.6,51.2
12,1952,9,52,45,27,29.9,41.4
1,1953,15,58,36,30,27.6,41.4
2,1953,10,60,41,26,27.6,42.4
3,1953,10,69,45,24,32.3,45.8
4,1953,32,71,52,39,42.1,55.7
5,1953,39,86,60,44,50.1,66.7
6,1953,49,98,72,61,60.1,80.4
7,1953,57,96,74,68,64.4,82
8,1953,55,98,77,70,63.1,80.8
9,1953,40,100,73,58,57.6,75
10,1953,38,80,58,50,48.2,64.1
11,1953,30,74,54,41,41.3,55.8
12,1953,12,64,44,25,32.2,48.1
1,1954,3,53,34,16,18.5,33.4
2,1954,-1,61,42,20,28.9,43.9
3,1954,21,70,41,34,30.9,46.7
4,1954,17,85,53,37,40.3,59.9
5,1954,42,85,64,47,49.3,63.3
6,1954,49,93,69,59,59,74.2
7,1954,59,95,73,69,63.9,80.4
8,1954,52,92,74,66,61.8,78.4
9,1954,47,84,64,55,55.9,70.4
10,1954,37,90,69,51,50.8,66.4
11,1954,28,66,50,40,37.4,51.3
12,1954,16,57,43,23,27.5,41.2
1,1955,10,45,38,22,22.2,34.7
2,1955,-1,57,38,15,24.9,39.1
3,1955,17,63,42,31,30.4,44.8
4,1955,33,78,57,43,42.1,56.2
5,1955,42,89,67,51,52.3,73.2
6,1955,50,92,70,55,58.5,75.1
7,1955,59,98,76,69,67.9,86.4
8,1955,54,100,76,70,66.5,82.5
9,1955,43,90,68,62,55.8,73.1
10,1955,34,82,61,49,47.9,62.4
11,1955,22,60,48,33,36.4,47.4
12,1955,-2,48,38,11,20,33.1
1,1956,5,44,42,19,25.5,35.7
2,1956,9,53,37,28,26.2,38.8
3,1956,13,52,39,26,27.5,39.6
4,1956,32,83,48,40,37.9,53.2
5,1956,34,93,60,51,45.3,65.5
6,1956,47,97,76,50,59.7,78.1
7,1956,55,93,71,60,63.7,79.5
8,1956,56,93,70,66,63.4,80.3
9,1956,41,86,66,54,54.1,68.1
10,1956,35,87,57,46,46.4,62.3
11,1956,20,71,57,35,38.2,53.9
12,1956,8,62,46,25,28.7,43.2
1,1957,-12,58,43,7,15.1,31.6
2,1957,13,68,47,23,27.3,42
3,1957,20,63,39,34,32.3,45.8
4,1957,31,88,57,41,40.8,58
5,1957,37,89,65,51,50.7,69
6,1957,51,95,76,61,61.5,81
7,1957,58,98,73,70,65.3,82.9
8,1957,52,96,70,66,61.1,77.5
9,1957,40,93,71,60,58.6,75.9
10,1957,35,78,58,42,46.7,62.4
11,1957,17,70,54,39,40.2,54.1
12,1957,17,63,50,30,33.2,46.7
1,1958,4,53,41,19,24.7,37.2
2,1958,-4,45,33,15,19,31.9
3,1958,27,58,39,36,34.4,43.7
4,1958,30,78,52,39,41.2,56.3
5,1958,39,,59,45,48.6,64.5
6,1958,48,89,67,57,56.2,71.6
7,1958,58,93,75,65,64.9,79.9
8,1958,56,90,70,68,63.8,80.9
9,1958,46,89,67,58,56.3,72.9
10,1958,33,82,,47,45.3,59.9
11,1958,18,67,56,33,39.1,54
12,1958,6,54,35,19,19.3,33.4
1,1959,2,62,38,19,20.8,36.6
2,1959,0,54,37,18,18,35.4
3,1959,18,70,47,29,29.3,44.6
4,1959,33,75,53,43,41,56.9
5,1959,42,93,68,56,52.5,72.7
6,1959,47,96,69,55,,72.8
7,1959,59,92,73,67,66.1,83.3
8,1959,55,96,76,64,66.4,81.8
9,1959,44,92,74,57,59.7,76.5
10,1959,33,85,63,47,47.9,62.2
11,1959,22,73,57,33,36.8,52
12,1959,12,61,44,27,30.1,42.4
1,1960,9,57,37,16,24.7,37.1
2,1960,20,56,39,29,28.4,42.1
3,1960,10,62,50,26,25.8,39.6
4,1960,31,78,50,40,40.3,56.3
5,1960,43,83,59,55,52,67.4
6,1960,51,91,69,65,61,
7,1960,59,92,69,73,64.3,81.9
8,1960,55,93,74,66,64.4,80.1
9,1960,48,93,68,57,56.9,70.5
10,1960,31,76,53,50,46,61.8
11,1960,28,67,55,40,40.6,55.4
12,1960,7,57,41,16,21.8,37.1
1,1961,4,56,39,19,17.7,32.2
2,1961,-4,65,36,11,23.9,39.3
3,1961,16,65,40,30,29.6,44
4,1961,,71,49,41,38.3,52.2
5,1961,38,88,62,45,48.2,64.4
6,1961,49,95,72,62,59.3,78.5
7,1961,57,91,72,66,64.3,79.9
8,1961,55,92,74,65,64.3,80.6
9,1961,46,94,,60,61.1,76.8
10,1961,35,81,63,49,,
11,1961,27,76,58,35,38.6,50.6
12,1961,11,57,40,26,27.1,38.5
1,1962,6,56,36,18,20.6,36.7
2,1962,-1,61,35,19,18.8,34.6
3,1962,7,75,51,22,31.6,45.3
4,1962,31,91,52,40,39.7,59
5,1962,40,91,66,42,48.7,65.7
6,1962,51,92,69,57,59.2,77.5
7,1962,55,89,68,66,62.3,78.4
8,1962,55,89,72,62,62.3,77.6
9,1962,41,86,66,59,54.8,71
10,1962,31,79,56,41,46.8,61.4
11,1962,27,62,49,36,35.2,48.2
12,1962,-4,64,43,9,22.6,37.4
1,1963,4,54,37,21,22.4,36.5
2,1963,-3,49,32,18,17.4,34.4
3,1963,21,78,48,31,31.9,46.2
4,1963,28,75,48,45,39.9,57.8
5,1963,36,88,65,44,49.5,69.3
6,1963,49,95,74,58,59.7,79.2
7,1963,55,98,78,69,65.7,83.6
8,1963,54,91,69,69,61.6,79.2
9,1963,39,87,62,54,52.8,68.8
10,1963,35,90,63,44,50.1,69.9
11,1963,30,71,53,41,41.9,54.6
12,1963,3,52,35,18,20.3,31.4
1,1964,10,55,39,19,24.7,38.6
2,1964,13,47,35,26,22,36.1
3,1964,19,72,43,30,31.6,45.7
4,1964,24,82,49,42,38.6,53.6
5,1964,38,93,69,49,50.2,70.4
6,1964,49,94,68,58,57.6,76.5
7,1964,57,97,73,63,63.5,79.5
8,1964,52,85,68,63,58.3,74.5
9,1964,42,87,66,54,54,70
10,1964,34,77,54,49,44,61
11,1964,24,68,48,35,36.7,51.4
12,1964,12,60,47,24,25.9,38.9
1,1965,-4,57,36,10,18,32.7
2,1965,6,53,35,22,20.4,35.5
3,1965,18,60,38,29,29.5,42.1
4,1965,22,76,48,40,36.4,51.9
5,1965,42,92,56,49,49.4,69.6
6,1965,46,91,70,54,57.6,77.2
7,1965,54,93,71,71,62.3,79.7
8,1965,47,93,71,61,61.5,79.4
9,1965,38,89,68,53,55.2,69.8
10,1965,32,76,53,44,44.4,61.1
11,1965,26,68,45,35,35.3,48.9
12,1965,13,63,48,26,29.8,42.4
1,1966,6,61,46,17,22.5,35
2,1966,3,54,43,20,24.8,37.8
3,1966,22,66,42,35,32.5,47
4,1966,34,70,48,44,39.3,52.4
5,1966,38,86,61,45,49.3,65.2
6,1966,51,94,69,60,60.4,78.3
7,1966,59,97,74,75,65.8,83.9
8,1966,59,92,70,65,63.6,78.9
9,1966,46,92,66,62,56.2,70.8
10,1966,32,78,55,45,46.2,62.7
11,1966,27,69,53,40,40.4,53.3
12,1966,14,70,47,23,27.6,40.7
1,1967,7,62,40,25,28.7,41.4
2,1967,-3,58,37,20,18.8,33.9
3,1967,6,64,37,19,27.5,38.8
4,1967,27,75,55,37,36.8,53
5,1967,37,77,51,44,44.1,59.2
6,1967,47,94,70,57,58,76.3
7,1967,56,89,73,70,66.4,79.5
8,1967,56,86,72,66,64.2,77.5
9,1967,45,83,65,59,54.3,71
10,1967,34,81,60,49,46.1,61.4
11,1967,21,68,50,31,34.2,46
12,1967,18,58,41,29,28.9,41
1,1968,-4,50,36,6,18.2,32.9
2,1968,5,48,35,14,18.9,33.2
3,1968,11,64,47,32,32.2,46
4,1968,32,69,51,41,42.4,56.8
5,1968,44,77,58,51,49.3,62.9
6,1968,50,91,70,55,58.4,71.3
7,1968,58,98,74,69,66.5,83.9
8,1968,57,93,71,66,63.4,78
9,1968,51,84,64,63,59.2,70.7
10,1968,39,85,64,50,51.2,64.5
11,1968,32,63,46,41,38.6,49
12,1968,-3,57,44,9,24.7,37
1,1969,7,49,38,24,23.4,35.2
2,1969,12,40,33,26,25,33.9
3,1969,15,57,40,29,29.5,41.3
4,1969,25,83,58,42,41.8,59.4
5,1969,43,87,64,54,50.3,66.6
6,1969,55,95,72,63,61.3,77.3
7,1969,58,95,77,66,64.7,77.2
8,1969,54,93,74,69,65.6,83
9,1969,46,95,75,59,56.5,70.9
10,1969,30,79,59,38,47,61.5
11,1969,22,61,53,35,39.2,50.5
12,1969,12,60,44,23,27.9,38.8
