Month,Year,LowTemp,HighTemp,WarmestMin,ColdestHigh,AveMin,AveMax
1,1945,-4,59,38,14,16.1,31.4
2,1945,11,51,37,25,23.7,37.3
3,1945,24,86,60,37,37.6,55
4,1945,33,85,61,44,43.9,61.1
5,1945,35,79,58,47,47.4,62.9
6,1945,41,96,68,49,58,75.1
7,1945,55,93,71,70,64.1,79.7
8,1945,55,94,71,61,62.1,79.4
9,1945,40,95,71,52,58.4,75.8
10,1945,34,84,57,47,44.3,61.9
11,1945,25,74,57,36,38.3,52.7
12,1945,8,52,39,23,22.2,34.8
1,1946,-3,57,49,15,20.5,36.2
2,1946,4,59,34,23,18.6,36.6
3,1946,24,85,61,38,37.3,57
4,1946,,,,,,
5,1946,36,87,57,47,48.7,67.3
6,1946,45,94,70,50,57.9,77.1
7,1946,54,96,70,65,62,79.7
8,1946,52,90,69,58,60.6,74.9
9,1946,45,88,66,62,57.7,74
10,1946,38,86,62,51,48.7,68
11,1946,27,72,52,38,40.5,55.2
12,1946,8,63,49,25,26.3,43.2
1,1947,8,61,38,20,24.3,40.9
2,1947,8,53,35,25,21.4,37.8
3,1947,22,58,42,30,30.4,45
4,1947,30,75,55,38,38.6,55.7
5,1947,36,87,65,42,47.9,65.9
6,1947,46,89,70,52,56.3,74.4
7,1947,59,90,73,71,66.5,82.2
8,1947,54,99,75,70,64.5,81.8
9,1947,37,88,72,56,56.1,73.4
10,1947,38,89,65,50,51.6,71.5
11,1947,25,59,47,36,34.7,47.7
12,1947,12,60,40,22,23,37.9
1,1948,-3,45,32,17,16.4,30.3
2,1948,2,54,38,14,18.3,35.5
3,1948,1,72,52,20,28.9,47.1
4,1948,30,74,52,45,39.4,56.5
5,1948,42,83,57,47,47.8,62.1
6,1948,47,92,70,53,55.5,71.8
7,1948,53,96,74,72,65.1,83.9
8,1948,58,100,79,70,65.1,82.3
9,1948,44,90,66,60,56.2,75.2
10,1948,33,79,61,48,46.2,62.3
11,1948,28,73,58,41,43.2,56.1
12,1948,7,58,46,19,30,42.6
1,1949,14,60,39,26,27.6,41.7
2,1949,7,61,41,30,26.8,42.1
3,1949,13,71,50,27,31.2,47.2
4,1949,33,77,53,45,42.5,59.2
5,1949,42,90,64,48,50.7,70
6,1949,51,95,74,65,61.4,81.8
7,1949,59,100,77,72,67.3,85.2
8,1949,54,101,78,73,65.5,83.3
9,1949,44,85,64,61,55.3,71.1
10,1949,37,86,64,52,50.2,66.5
11,1949,15,68,49,28,36.2,51.1
