Month,Year,LowTemp,HighTemp,WarmestMin,ColdestHigh,AveMin,AveMax
1,1970,3,49,37,19,16.6,29.4
2,1970,7,58,43,25,24.1,40.5
3,1970,19,57,40,34,30.9,43.8
4,1970,28,75,55,45,41.1,56.9
5,1970,39,92,60,55,50.8,68.4
6,1970,50,90,66,59,58,76
7,1970,58,92,75,71,65.5,83
8,1970,59,94,73,72,64.6,82.5
9,1970,48,92,68,57,57.3,73.9
10,1970,34,76,62,46,48,61.8
11,1970,25,63,48,35,39.4,50.2
12,1970,13,59,42,24,22.2,35.5
1,1971,2,46,31,13,16.6,30.9
2,1971,5,53,38,18,24.1,36.8
3,1971,23,65,40,34,30,43.4
4,1971,30,72,44,42,36.5,53.6
5,1971,43,79,60,46,47.6,63.7
6,1971,48,94,69,64,59,79.2
7,1971,58,94,72,71,64.4,82.4
8,1971,52,93,73,65,64.5,82.3
9,1971,49,92,70,65,60.5,75.4
10,1971,45,86,60,56,52.4,67.2
11,1971,24,76,56,36,36.2,50
12,1971,13,64,43,23,28.9,43.6
1,1972,5,59,39,19,25,40.9
2,1972,0,55,37,19,21.8,37.4
3,1972,18,62,40,28,30.1,42.5
4,1972,25,74,47,38,37.5,52.3
5,1972,40,86,65,46,49.4,65.8
6,1972,48,86,66,58,57.9,72.8
7,1972,58,94,73,66,65.5,82
8,1972,54,88,72,70,62.9,80
9,1972,50,88,66,61,57.7,73.7
10,1972,32,72,61,45,44.5,59
11,1972,17,66,47,31,36.3,48.2
12,1972,14,62,38,20,27.1,38.9
1,1973,1,61,42,16,23.7,39.1
2,1973,3,54,37,21,22.9,37.2
3,1973,26,67,44,35,36.4,50.2
4,1973,31,84,56,41,41.9,57.8
5,1973,42,87,60,52,49.6,64.3
6,1973,50,97,71,68,61.4,78.5
7,1973,59,96,75,72,66.2,82.3
8,1973,57,99,78,65,66.9,82.7
9,1973,43,94,72,58,56.4,72.3
10,1973,37,77,58,50,48.2,62.9
11,1973,30,71,54,41,39.5,52
12,1973,11,63,45,25,32.4,46.7
1,1974,-3,63,41,16,24.6,38.8
2,1974,8,57,36,18,21.5,36.7
3,1974,15,70,45,29,30.2,47.1
4,1974,27,85,58,38,41.7,60
5,1974,37,89,62,50,47.6,61.7
6,1974,48,93,66,56,56.4,73.2
7,1974,58,95,74,68,64.1,80.7
8,1974,57,91,74,67,64.5,79.5
9,1974,39,87,69,54,56.5,70.8
10,1974,30,78,54,40,41,59.1
11,1974,23,77,58,34,38.5,52.1
12,1974,17,58,43,29,32.1,43.4
1,1975,11,62,41,29,28.4,41.4
2,1975,7,54,42,25,25.6,38.5
3,1975,14,57,41,32,29.9,43.8
4,1975,31,70,52,36,37.2,53
5,1975,43,90,63,50,52,70.9
6,1975,49,94,74,56,60.1,74.9
7,1975,56,95,74,72,67.3,84.5
8,1975,53,102,83,66,65.4,80.4
9,1975,46,81,64,59,56.5,71.2
10,1975,34,78,58,49,49.7,64.8
11,1975,33,76,62,40,44.2,59.4
12,1975,4,66,48,15,26.4,42.3
1,1976,-4,56,40,16,18.1,34.1
2,1976,12,63,45,23,28.4,46.1
3,1976,18,72,47,31,32.8,49.5
4,1976,24,94,66,43,45.2,65
5,1976,44,83,59,55,51,69.4
6,1976,53,95,74,62,63.9,82.8
7,1976,58,93,71,66,65,80.8
8,1976,49,93,76,67,63.7,80.2
9,1976,46,88,63,66,55.9,73.8
10,1976,28,77,63,43,45.1,59.5
11,1976,23,66,50,32,35,48.7
12,1976,6,59,35,20,20.7,37.2
1,1977,3,47,30,14,16.7,29.8
2,1977,9,48,38,23,24.8,36.6
3,1977,27,81,51,37,36.8,52.5
4,1977,26,88,58,42,41.4,61.2
5,1977,35,92,69,49,52.2,73
6,1977,50,90,67,58,59,75.8
7,1977,57,102,80,69,65.7,84.1
8,1977,56,95,74,69,64.5,82.3
9,1977,47,92,72,55,57.7,71.1
10,1977,37,77,61,53,48.5,62.1
11,1977,29,67,56,35,42.6,53.6
12,1977,5,55,47,17,27.7,40.7
1,1978,10,58,35,22,21.3,35.6
2,1978,3,44,30,21,20.1,34
3,1978,16,60,43,26,29.6,42.7
4,1978,29,75,50,41,41.8,55.8
5,1978,37,86,65,49,52.1,66.5
6,1978,52,89,71,63,59,77.5
7,1978,56,99,73,60,63.5,80.6
8,1978,55,93,76,63,65,78.2
9,1978,42,88,63,54,52.8,70
10,1978,33,78,56,45,44.5,60.5
11,1978,17,70,48,29,37.1,50
12,1978,19,62,41,30,28.5,42
1,1979,4,61,52,22,25.8,39.1
2,1979,-3,53,35,14,15.8,30.4
3,1979,19,72,48,36,35,49.9
4,1979,33,77,55,43,41.7,55.6
5,1979,45,95,68,53,53.7,68.5
6,1979,50,95,71,67,59.1,77.3
7,1979,55,94,72,71,66.1,82.9
8,1979,54,91,75,62,64.7,78.6
9,1979,42,85,74,59,57,72.8
10,1979,32,83,61,39,45.3,60
11,1979,29,72,53,41,41.2,55.9
12,1979,5,68,48,18,29.1,44.2
1,1980,11,57,37,20,23.2,35.6
2,1980,9,53,33,20,20.7,35
3,1980,7,59,39,24,29.2,44.5
