Month,Year,LowTemp,HighTemp,WarmestMin,ColdestHigh,AveMin,AveMax
4,1980,33,75,49,45,41.2,56.2
5,1980,44,89,59,51,51.2,67.6
6,1980,47,96,74,61,57.6,75
7,1980,57,99,76,69,66.9,84.7
8,1980,58,94,75,64,66.4,81.9
9,1980,45,96,74,55,58.1,75.8
10,1980,34,72,60,46,45.1,59.6
11,1980,26,64,43,37,33.5,48.9
12,1980,-7,61,37,19,19.5,37.7
1,1981,-4,49,38,12,14.3,28.5
2,1981,13,66,42,22,28.7,44.1
3,1981,20,77,53,35,31.7,46.5
4,1981,31,78,53,45,42.6,60.7
5,1981,40,91,66,52,51.3,69.5
6,1981,54,92,72,69,62.4,79
7,1981,56,99,76,69,66.5,82.6
8,1981,51,90,72,66,63.8,80.3
9,1981,44,90,64,59,55.8,71.5
10,1981,37,74,53,48,44,58.3
11,1981,26,69,49,38,37.6,50.1
12,1981,14,58,39,23,28.5,37.9
1,1982,-2,56,33,14,15.2,30.5
2,1982,15,54,34,26,24.3,37.3
3,1982,10,63,41,31,30.9,46.4
4,1982,16,83,55,25,38.2,58.1
5,1982,44,84,63,54,50.8,64.7
6,1982,45,85,68,52,56.3,70.3
7,1982,57,98,75,69,66.3,83.4
8,1982,48,87,71,68,62.6,77.9
9,1982,50,87,68,58,56.9,71.2
10,1982,35,82,57,47,46,62.3
11,1982,25,76,62,42,40.1,55.1
12,1982,10,70,57,17,32.6,46.5
1,1983,0,59,45,13,24.8,37.6
2,1983,7,57,43,23,25.7,39.8
3,1983,22,61,44,35,33.9,47.2
4,1983,34,83,58,41,42.7,55.4
5,1983,40,81,62,49,50.8,65.5
6,1983,53,97,74,62,61.6,79.8
7,1983,60,99,75,72,68.7,87.2
8,1983,55,97,74,64,65.5,81.7
9,1983,51,99,76,65,61.7,79.5
10,1983,32,85,66,46,47.8,62.5
11,1983,28,69,53,40,38.9,53.2
12,1983,0,59,47,10,24.6,39.6
1,1984,1,51,37,15,20.9,32.4
2,1984,13,60,44,25,31,44.1
3,1984,6,54,40,24,25.9,37.8
4,1984,29,84,51,38,39.8,52.3
5,1984,41,89,60,50,49.8,66.2
6,1984,51,98,79,55,61.3,79.6
7,1984,58,98,72,68,65.8,83.5
8,1984,56,93,75,72,66.8,82.3
9,1984,40,85,68,52,52.7,71.4
10,1984,33,78,56,48,46.3,60.2
11,1984,25,68,55,37,37,52.1
12,1984,13,73,53,20,31.9,47.1
1,1985,6,45,31,12,17.5,31.2
2,1985,8,70,44,14,25.5,40
3,1985,18,74,48,31,31.8,48.9
4,1985,26,84,58,40,40.9,57.6
5,1985,39,89,63,48,49.8,68.7
6,1985,51,84,65,58,57.2,72.4
7,1985,54,92,73,69,65.1,81.9
8,1985,53,93,75,62,63.5,77.2
9,1985,45,90,69,61,57.6,73.2
10,1985,35,78,61,50,47.5,63.2
11,1985,25,73,56,33,39,51.8
12,1985,7,60,40,24,24.5,38
1,1986,1,58,41,18,23.1,39.6
2,1986,13,47,33,25,22.9,34.8
3,1986,7,77,50,28,31.3,50.1
4,1986,34,72,50,43,42.1,54.6
5,1986,36,90,64,48,50,66.8
6,1986,45,89,69,58,56.7,75.4
7,1986,54,95,75,61,63.5,78.5
8,1986,47,87,71,68,62.7,78.3
9,1986,45,87,68,57,55,71.4
10,1986,34,80,67,45,46,61.9
11,1986,19,72,52,34,33.9,50.6
12,1986,15,64,44,33,29.3,41.7
1,1987,8,50,41,18,22.2,35.6
2,1987,-1,47,38,17,21,37.2
3,1987,12,65,45,28,31.7,45.2
4,1987,31,72,48,40,39.4,50.8
5,1987,39,93,73,42,48.2,66.1
6,1987,50,87,68,58,56.9,73.3
7,1987,57,95,73,62,64.1,79.2
8,1987,54,96,76,60,62.3,78.2
9,1987,48,86,66,60,58.2,72.6
10,1987,37,73,57,50,46.1,62.4
11,1987,16,78,55,35,36.1,51.6
12,1987,3,58,45,17,29.8,42.4
1,1988,-4,58,40,15,20.5,35.1
2,1988,8,60,43,23,24.7,39.6
3,1988,12,69,47,25,30.8,47.5
4,1988,33,67,50,42,40.7,52.9
5,1988,41,85,63,46,49.9,65.3
6,1988,47,98,75,58,59.2,77.8
7,1988,50,99,72,67,64.8,82.6
8,1988,53,96,77,67,67.3,83.6
9,1988,44,83,65,57,55.9,73.3
10,1988,31,83,61,44,43.3,58.3
11,1988,28,67,54,41,38.7,54.6
12,1988,2,60,41,20,25.1,40.5
1,1989,5,54,39,23,26.4,42.6
2,1989,10,66,44,21,23.3,37.7
3,1989,9,81,50,23,29.3,45.2
4,1989,31,66,44,43,38.2,53.6
5,1989,44,82,62,52,51.3,67.4
6,1989,53,93,73,59,60.3,75.3
7,1989,59,96,75,65,64.4,81.1
8,1989,54,90,73,69,64,79.2
9,1989,42,86,72,57,57.1,72.3
10,1989,38,76,56,46,46.8,63.7
11,1989,15,71,58,29,35.7,49.8
12,1989,4,53,27,17,14.1,29.3
1,1990,14,63,42,26,29.5,43.3
2,1990,3,65,50,18,25,43.2
3,1990,12,73,56,27,31.4,48.8
4,1990,31,92,50,40,40.1,55.1
5,1990,42,81,57,45,47.5,62.2
6,1990,49,87,67,58,58.3,74.8
7,1990,57,93,73,67,65.2,81
8,1990,55,92,72,68,66.3,80.2
9,1990,44,87,67,60,56.9,72.3
10,1990,34,86,63,49,49.9,66.7
11,1990,28,77,62,41,40.1,56.9
12,1990,18,67,55,26,32.6,48.8
1,1991,4,49,35,16,22.2,36.6
2,1991,9,65,41,24,27.8,44.3
3,1991,23,79,50,37,34.3,48.8
4,1991,35,86,55,42,42.2,60.4
5,1991,44,91,71,56,53.2,73.3
6,1991,50,97,75,59,60.7,79.2
7,1991,58,99,81,68,66.5,82.6
8,1991,57,93,74,66,65.6,81.9
9,1991,39,90,74,53,55.7,71.6
10,1991,34,80,64,50,48.5,64.2
11,1991,28,73,52,38,39.2,51.1
12,1991,10,64,49,26,28.5,43.4
1,1992,7,58,39,20,23.8,38.2
2,1992,7,55,39,25,24.8,40
3,1992,9,61,42,31,28.1,42.6
4,1992,31,76,56,40,38.6,54.1
5,1992,37,92,65,47,47.6,63.5
6,1992,48,87,65,53,58.8,76.7
7,1992,54,89,70,62,61.5,77.4
8,1992,57,91,71,61,62.7,78
9,1992,39,85,70,53,56,71.7
10,1992,35,78,60,49,44.7,60.2
11,1992,25,64,53,35,36.7,49
12,1992,13,56,42,25,28.3,41.3
1,1993,10,62,43,22,25.4,39.4
2,1993,2,51,32,20,19,35.1
3,1993,12,60,42,28,29.5,43.2
4,1993,33,73,53,38,41.3,55.3
5,1993,45,91,62,51,52,68.6
6,1993,48,93,68,57,59.1,79.8
7,1993,56,99,77,67,65.8,83.6
8,1993,57,96,77,70,65.8,81.3
9,1993,43,93,69,54,57.4,72.2
10,1993,34,77,53,47,44.5,60.1
11,1993,18,78,55,32,37.2,54
12,1993,7,56,41,18,27.6,40.8
1,1994,-4,54,31,7,13.4,31
2,1994,3,62,45,18,19.7,34.1
3,1994,18,67,40,30,31.4,44.9
4,1994,34,88,50,41,42.3,60.5
5,1994,43,86,63,50,49.3,67.4
6,1994,50,95,70,65,61.9,81.9
7,1994,61,97,76,67,68.8,86.1
8,1994,56,92,75,68,63.8,81
9,1994,50,87,69,59,57,71.4
10,1994,39,77,56,53,47.1,63.8
11,1994,22,79,57,34,40.6,57.3
12,1994,13,65,50,29,31.4,45.6
