Month,Year,LowTemp,HighTemp,WarmestMin,ColdestHigh,AveMin,AveMax
1,1932,18,69,54,27,32.4,45.2
2,1932,11,55,35,25,23.4,37.9
3,1932,12,63,46,26,27.9,43.4
4,1932,28,76,53,42,39.2,55.7
5,1932,43,93,65,54,50.6,69.9
6,1932,42,88,70,60,57.2,75.7
7,1932,57,90,68,70,63.5,82.1
8,1932,59,91,71,74,65.4,82.5
9,1932,40,87,71,56,57,73.3
10,1932,38,81,68,50,50,64.4
11,1932,8,66,48,27,34.5,51.2
12,1932,0,66,51,18,30.5,45.7
1,1933,9,60,45,26,30.7,45.1
2,1933,9,66,39,24,25.5,41.9
3,1933,11,60,39,28,29.8,41.6
4,1933,29,76,53,37,39.7,53.3
5,1933,40,90,66,50,52.5,70.8
6,1933,47,99,71,61,59.3,79.5
7,1933,52,98,73,61,62.4,79.1
8,1933,55,95,72,67,63.9,79.1
9,1933,47,86,68,60,58.1,73.5
10,1933,27,75,55,46,44.5,60.7
11,1933,12,70,51,27,29.9,46.7
12,1933,-17,50,37,10,18.8,34.9
1,1934,-2,56,36,12,22.1,37.2
2,1934,-18,44,29,3,7.9,27.1
3,1934,6,68,38,27,26.1,43.9
4,1934,32,72,54,42,39.6,56.4
5,1934,41,87,66,59,51,70.2
6,1934,50,94,71,55,58.1,75.7
7,1934,57,93,72,71,64.7,81.6
8,1934,50,86,70,62,59.5,75.1
9,1934,52,81,64,63,58.7,70.4
10,1934,32,71,57,40,43,56.1
11,1934,23,69,56,36,38.3,52.8
12,1934,3,65,47,17,21,35.9
1,1935,-5,56,45,12,14.8,31.5
2,1935,-1,53,36,20,19.5,36.3
3,1935,16,71,41,31,29.9,47
4,1935,28,84,57,37,38.5,51.8
5,1935,37,85,62,48,47,64
6,1935,50,89,68,55,57.7,73.3
7,1935,58,92,74,63,65.4,79.8
8,1935,52,90,70,62,62.7,78.7
9,1935,42,80,64,54,53.6,69.3
10,1935,32,78,53,48,44.9,62.6
11,1935,20,71,55,34,39.3,51.6
12,1935,3,45,38,20,20.9,33.3
1,1936,4,54,37,17,21,35.3
2,1936,4,46,36,16,15.5,30.1
3,1936,15,70,46,28,34.4,49.1
4,1936,29,80,58,39,37.8,52.7
5,1936,34,91,65,50,50.2,71.1
6,1936,52,85,65,59,58.5,74.3
7,1936,57,98,69,68,62.2,80
8,1936,54,94,76,59,61.4,78
9,1936,41,90,71,54,55.2,70
10,1936,25,79,60,,46.1,62.8
11,1936,13,75,61,,31.5,47.5
12,1936,10,59,39,,27,42.9
1,1937,15,64,43,,29.5,45.3
2,1937,10,56,42,29,26.6,39.9
3,1937,15,57,36,26,26.5,41.7
4,1937,31,71,47,40,38.3,52.2
5,1937,42,93,63,48,50.1,68.1
6,1937,,95,68,62,58.6,74.2
7,1937,55,99,74,68,64.7,81.7
8,1937,57,98,74,62,66.3,82.8
9,1937,45,93,73,55,55.3,70.6
10,1937,32,74,64,50,45,60.3
11,1937,23,66,50,32,36.7,51.2
12,1937,16,50,37,24,25,37.4
1,1938,3,57,42,16,20.8,35.2
2,1938,8,53,36,26,23.1,38
3,1938,7,78,50,28,30.9,47.3
4,1938,25,89,56,38,40.2,57.2
5,1938,41,81,56,51,47.8,63.7
6,1938,48,93,70,57,58.4,76.1
7,1938,54,90,71,66,64.2,79.3
8,1938,56,,76,66,65.2,82
9,1938,45,,62,54,54.2,70.3
10,1938,38,,57,46,48.5,63.5
11,1938,12,77,62,25,38.4,54.3
12,1938,13,57,43,26,27.9,40
1,1939,4,55,39,17,20.7,35
2,1939,9,66,36,28,24.1,40.6
3,1939,9,58,40,28,26.1,40.1
4,1939,26,69,47,31,36.9,49.8
5,1939,39,90,65,50,48,64.8
6,1939,52,88,69,62,58.2,73.1
7,1939,56,93,73,71,63.6,81
8,1939,60,92,72,66,66.2,81.5
9,1939,45,96,70,56,55.6,
10,1939,31,87,60,45,45.2,63.1
11,1939,21,61,44,36,33,48.5
12,1939,6,57,44,17,26.4,40.5
1,1940,8,52,34,18,16.4,29.6
2,1940,10,47,34,26,23.2,36
3,1940,14,60,41,25,26.7,39.5
4,1940,26,75,44,39,36.5,50.6
5,1940,43,75,56,49,48.8,63.7
6,1940,46,90,66,54,56.7,73.5
7,1940,55,95,71,62,63.2,79.9
8,1940,46,86,70,67,60.3,76.6
9,1940,42,86,66,56,55.3,71.3
10,1940,28,77,58,43,42.4,58.7
11,1940,17,71,50,34,36.3,49.5
12,1940,2,58,40,27,26.7,41.9
1,1941,3,48,33,17,18.9,31.6
2,1941,8,47,35,29,22.3,36.4
3,1941,12,56,36,16,26.2,40.5
4,1941,32,89,54,42,42.4,60.7
5,1941,36,92,64,44,50.5,69.2
6,1941,50,96,74,58,59.1,77.2
7,1941,57,96,72,67,63.8,79.1
8,1941,53,94,70,69,61.3,79.9
9,1941,40,94,70,59,55.8,76.2
10,1941,29,84,64,47,47.1,64.7
11,1941,26,75,56,42,39.3,56.7
12,1941,7,59,44,21,27.8,42.6
1,1942,1,60,37,10,20.7,36.4
2,1942,1,48,34,16,20.2,34.3
3,1942,30,65,40,37,34.3,47.3
4,1942,32,86,59,37,41,58.5
5,1942,44,88,65,50,52,69.5
6,1942,48,91,73,55,59.6,75.4
7,1942,58,93,71,66,63.4,78.8
8,1942,50,92,74,66,63,78.4
9,1942,39,91,67,53,56.9,72.2
10,1942,36,82,59,52,48.1,63.5
11,1942,20,71,50,32,36,51
12,1942,-11,59,38,8,21.7,35.4
1,1943,3,47,32,15,19.4,31.6
2,1943,-14,63,40,6,22.4,38.7
3,1943,6,68,45,22,28.4,43.5
4,1943,20,75,48,34,35.2,51.5
5,1943,35,85,62,50,49.4,65.7
6,1943,49,97,74,66,60.9,81.4
7,1943,53,93,74,69,65.5,82.7
8,1943,56,94,73,67,63.1,78.9
9,1943,44,85,68,56,55.3,70.6
10,1943,35,81,58,46,46.7,60.9
11,1943,24,67,47,36,36.5,50.1
12,1943,0,52,40,20,21.2,38.5
1,1944,6,58,36,18,24.8,37.1
2,1944,7,55,37,24,21.4,37.7
3,1944,10,64,43,23,26.7,41.5
4,1944,29,75,48,40,37.5,51.8
5,1944,40,96,70,55,53.5,72.9
6,1944,47,95,73,57,58.2,75.8
7,1944,59,95,73,71,65.1,82.5
8,1944,53,101,76,69,65.1,84.3
9,1944,42,90,70,59,57.3,72.7
10,1944,30,86,64,45,45.4,62.1
11,1944,29,69,48,35,36.1,50.2
12,1944,8,50,36,20,23.4,38.2
