Month,Year,LowTemp,HighTemp,WarmestMin,ColdestHigh,AveMin,AveMax
1,1920,-8,48,37,12,12.5,29.5
2,1920,-7,52,34,16,20.6,34.6
3,1920,10,72,45,25,30.5,48
4,1920,26,67,46,37,38,52.1
5,1920,36,86,61,45,47.5,61.8
6,1920,,90,68,52,57.6,74.1
7,1920,56,90,71,65,63.4,81.4
8,1920,56,93,74,69,65.2,78.9
9,1920,45,85,67,63,57.6,72.9
10,1920,37,82,,51,51,68.5
11,1920,22,64,47,36,35,48.4
12,1920,5,58,41,24,29.5,41.7
1,1921,1,56,43,14,25.8,41.5
2,1921,8,59,37,25,25.5,39.6
3,1921,20,83,52,36,36.7,55.8
4,1921,32,77,57,40,44,59.5
5,1921,41,93,70,48,50,66.1
6,1921,49,93,73,,59.3,77.1
7,1921,58,95,76,,66.2,80.3
8,1921,55,92,72,69,61.5,77.7
9,1921,53,93,75,64,60.1,76.9
10,1921,31,79,60,47,46.6,63.8
11,1921,25,72,52,36,35.4,47.7
12,1921,2,58,41,18,24.1,38.5
1,1922,0,51,33,16,20.3,34.1
2,1922,-4,56,41,10,24.3,39.8
3,1922,14,79,42,30,31.8,47.8
4,1922,29,85,52,35,39.7,57.7
5,1922,43,86,61,53,52,70.9
6,1922,52,92,72,59,60.8,76.5
7,1922,58,93,72,64,64.4,79.7
8,1922,54,93,72,65,63.4,77.4
9,1922,42,84,67,60,57.1,73.2
10,1922,28,87,61,48,46.3,63.9
11,1922,24,66,48,35,37.4,50.1
12,1922,8,61,44,21,24.5,37.3
1,1923,5,55,42,20,19.5,34.4
2,1923,2,45,32,15,16.7,30.5
3,1923,4,67,49,24,25.2,42.5
4,1923,13,87,65,33,38.4,57.9
5,1923,35,89,65,52,48.6,66.5
6,1923,47,96,74,53,59.6,79
7,1923,56,94,72,62,62.2,77.7
8,1923,51,94,74,63,60.5,78.1
9,1923,47,82,68,59,57.1,71.6
10,1923,35,81,59,49,47.5,63.6
11,1923,28,62,48,41,37.8,51.5
12,1923,19,62,49,32,34.3,46.6
1,1924,-6,61,40,12,23.3,40.5
2,1924,10,44,32,24,19.8,33.7
3,1924,21,68,38,34,31.6,44.3
4,1924,28,69,45,38,39.6,54.9
5,1924,42,76,57,44,48.8,63.6
6,1924,48,90,68,58,58.2,75.1
7,1924,58,95,73,68,64.8,82.9
8,1924,56,98,75,68,64.4,79.5
9,1924,44,90,71,59,54.4,70
10,1924,36,81,58,47,45.9,63.3
11,1924,14,76,58,32,37.1,52.1
12,1924,-1,64,42,18,23.4,38.8
1,1925,0,48,34,15,19.4,34.9
2,1925,14,59,44,25,30.8,45.3
3,1925,11,72,51,30,34.6,51.5
4,1925,31,82,60,38,41.1,58.1
5,1925,42,83,56,49,48.4,66.5
6,1925,53,100,80,59,61.1,80.7
7,1925,54,95,73,66,64.1,80.5
8,1925,50,92,70,67,62.3,80
9,1925,41,90,72,56,56,72.1
10,1925,30,79,54,39,41.9,57
11,1925,14,66,49,31,36,51.3
12,1925,4,59,43,14,27.7,39.5
1,1926,4,56,39,16,23.7,38.3
2,1926,11,48,31,27,20.5,35.2
3,1926,12,60,39,23,27,41.5
4,1926,21,78,53,37,36.2,53.4
5,1926,41,84,56,52,47.7,64.4
6,1926,46,88,69,52,55.6,73
7,1926,56,103,75,64,62.6,78.4
8,1926,55,94,74,67,63.2,77.6
9,1926,47,89,69,57,54.8,70
10,1926,35,84,61,47,44.6,62.3
11,1926,20,71,56,35,36.2,52.3
12,1926,4,51,39,18,21.1,36.2
1,1927,0,52,43,23,23.4,38
2,1927,11,49,34,25,25.9,39.3
3,1927,16,69,50,29,33.7,49.6
4,1927,29,89,54,41,38.7,57.9
5,1927,41,77,55,48,47.9,62.4
6,1927,50,90,69,60,56.6,73.5
7,1927,53,95,73,68,64.1,80.2
8,1927,54,85,68,61,59.8,75.1
9,1927,50,85,68,60,56.5,73.4
10,1927,36,89,68,53,49.3,66.5
11,1927,26,76,62,37,41.7,57.5
12,1927,13,65,41,28,28.1,43.6
1,1928,11,58,45,21,25.9,39.9
2,1928,-1,54,41,20,21.3,37.8
3,1928,17,70,42,32,29.4,44.7
4,1928,28,84,54,40,37.8,55.7
5,1928,41,74,56,49,47.9,62.8
6,1928,51,90,68,55,57.6,72.6
7,1928,58,94,72,68,65.6,81.2
8,1928,58,96,75,64,66.1,81
9,1928,42,85,66,54,54.9,69.9
10,1928,28,88,66,42,47.3,65.9
11,1928,18,76,59,30,37.4,52.2
12,1928,17,61,43,29,32.4,45.2
1,1929,6,60,35,19,21.2,36.9
2,1929,14,56,38,25,25.1,38.3
3,1929,9,69,43,32,33,49.8
4,1929,29,84,55,36,39.7,53.4
5,1929,42,96,72,48,50,71.9
6,1929,45,94,72,61,59,77.6
7,1929,54,94,75,69,62.9,82.2
8,1929,54,90,69,67,60.1,78.4
9,1929,40,97,71,58,56.7,73.8
10,1929,34,78,54,46,44.5,61.9
11,1929,12,77,63,26,38.2,51.2
12,1929,7,52,40,26,26.1,38.8
1,1930,8,64,49,25,24.3,39.3
2,1930,-1,68,49,17,25.1,43.1
3,1930,19,60,41,28,30.4,45.9
4,1930,26,78,50,38,38.2,56.9
5,1930,45,95,71,50,51.1,68.3
6,1930,45,95,71,65,62.8,81.9
7,1930,58,94,74,71,64.9,80.7
8,1930,53,98,76,66,62.6,78.4
9,1930,49,91,72,68,60.3,78.5
10,1930,34,87,58,43,45.5,60.5
11,1930,16,71,55,28,38.2,51.9
12,1930,4,58,38,23,26.9,39.5
1,1931,7,55,39,20,23.1,38
2,1931,1,49,37,21,22.6,38.1
3,1931,27,57,40,36,33.8,44.8
4,1931,32,78,52,42,41.6,58.8
5,1931,37,94,69,46,50.5,70.1
6,1931,48,97,78,57,58.9,75.4
7,1931,60,97,77,68,66.7,81.3
8,1931,58,97,72,68,64.7,79.6
9,1931,46,95,72,57,58.7,75.1
10,1931,40,84,60,51,50.1,66.9
11,1931,25,78,59,36,42.1,56.8
12,1931,14,61,45,27,29,44.2
